"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"Á¤¸ª·Î","¿ùÆò±Õ","","65","56","73","73","75","47*","43","30","45","41","54","63","63","66","63","62","52","42","26","25","24","34","61","48","48","61","74","50","63","34","25","23","19","28","42","48","47","46","50","54","47","41","21","22","0","0","26**","44","41","51","66","44","63","34","27","24","17","28",
"±ÝÃµ±¸","¿ùÆò±Õ","","48","42","56","49","63","42","32","20","28","26","40","47","50","50","52","48","42","38","27","24","22","27","49","41","64","57","66","38","45","25","25","24","19","28","35","36","42","41","43","39","31","33","22","25","21","34","43","44","41","53","69","41","57","33","26","22","16","26",
"±Ý¿Õ","¿ùÆò±Õ","","","","","","","","25","21","37","36","57","55","60","56","54","58","44","35","29","27","32","35","65","57","76","66","73","45","51","36","32","31","29","33","50*","50","52","47","48","45","38","44","25","27","28","45","50","62","64","57","73","50","69","41","24","27","18","37",
"ÆÄµµ¸®","¿ùÆò±Õ","","52","47","60","56","63","37","29","31","37","33","44","45","51","49","42","44","40","34","21","21","27","37","52","43","57","56","63","39","53","27","23","30","30","45","47","43","45","46","50","47","36","31*","23","27","0","0","46*","42","49","55","74","45","57","32","31","26","24","40",
"½ÃÈï´ë·Î","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","52*","41","41","52","72","45","53","33","29","29","24","31","37","39","48","48","49","46","40","42","29","29","25","38","52","50","46","59","81","51","72","43","32","32","23","35",
"½ÃµµÆò±Õ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","55","68","39","24","25","20","40",
"°­µ¿±¸","¿ùÆò±Õ","","61","54","67","63","71","44","31","21","35","32","47","55","56","59","57","65","45","39","30","25","23","33","57","44","65","58","67","37","47","26","26","22","19","34","54","48","47","46","45","44","33","36","20","24","20","36","45","47","42","52","69","42","64","32","22","21","15","27",
"»ç°î¸é","¿ùÆò±Õ","","44","39","44","51","52","34","31","20","30","28","45","43","51","47","44","51","39","33","21","21","22","27","54","42","59","53","56","35","46","35","24","24","25","31","39","39","45","45","49","48","41","42","22","24","32","43","49","50","49","50","75","49","62","41","28","27","22","33",
"½ÃµµÆò±Õ","¿ùÆò±Õ","","60","56","72","82","72","49","43","30","45","39","52","57","58","60","61","60","50","45","30","27","25","34","57","45","45","59","73","47","59","33","30","27","24","33","43","46","46","45","49","48","40","41","24","25","22*","38*","47*","46","41","52","71","46","65","36","27","25","17","30",
"´ë»êÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","33","43","42","37","","","","","","","","","","",
"¿ÂÃµµ¿","¿ùÆò±Õ","","48","47","55","67","59","48","35","30","38","33","49","44","43","48","43","65","46","43","30*","26","26","30","46","42","42","54","54","43","48","31","27","27","22","26","34","36","32","37","37","41","35","29","20","30","25","32","32","37","40","39","59","40","38","29","18","20","19","22",
"°­ºÏ±¸","¿ùÆò±Õ","","45","37","50","45","52","31","30","17","25","22","40","49","47","50","50","48","37","32","25","21","16","19","39","43","71","62","73","39","52","30","31","32","26","36","41","46","44","46","46","48","36","39","24","28","22","35","45","46","43","51","66","41","61","30","24","23","17","28",
"ÀåÇ×Ç×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","26","40","40","37","","","","","","","","","","",
"ÃÊ·®µ¿","¿ùÆò±Õ","","41","48","62","68","76","59","48","33","35","26","53","60","54","64","60","80","63","59*","39**","27","26","32","50","41","41","47","50","43","53","37","30","30","26","27","33","32","29","33","32","36","37","31","22","32","24","29","29","30","37","36","62","39","40","32","21","21","20","25",
"¿î¾Ï¸é","¿ùÆò±Õ","","46","38","44","49","53","38","31","24","27","27","44","40","44","52","43","52","34","36","23","23","17","28","46","52","72","75","81","48","43","39","28","29","28","29**","","","40*","37","41","43","37","38","19","22","22*","35","36","35","45","49","59","50","62","39","12","14","16","27",
"ºÎ»êºÏÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","41","33","33","43","49","42","49","31","28","29","24","25","31","31","27","29","30","34","31","27","20","33","27","29","29","32","34","33","57","34","39","33","24","26","22","25",
"¼ººÏ±¸","¿ùÆò±Õ","","55","49","60","59","72","44","37","25","39","34","46","52","50","55","52","57","48","38","27","25","23","28","50","43","64","55","65","42","58","30","23","26","29","40","47","43","41","40","45","46","36","38","22","22","19","36","45","44","37","49","67","45","64","34","24","20","13","26",
"±º»êÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28*","43","47","44","","","","","","","","","","",
"ºÎ»ê½ÅÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","54","42","42","48","48","39","48","30","26","30","24","29","36","35","31","36","33","35","30","25","17","22","25","32","33","33","38","35","63","38","40","28","19","22","20","28",
"½ÃµµÆò±Õ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","24",
"»õ¸¸±Ý","¿ùÆò±Õ","","","","","","","","","","","45","55","47","56","58","48*","51","44","39","19","19","24","35","62","47","59","60","70","45","55","31","27","28","29","41","44","35","43","40","45","41","29","29","17","19","18*","33","35","33","46","46","53","42","61","31","20","19","16","27",
"½ÃµµÆò±Õ","¿ùÆò±Õ","","44","48","59","66","67","54","41","31","36","30","51","52","48","56","51","72","55","48","33**","27","26","31","48","39","39","48","50","42","49","32","28","29","24","27","34","33","30","33","33","36","33","28","20","29","25","31","31","33","37","36","60","38","40","30","20","22","20","25",
